date,totalPassengers
2017-07-15,7692.0
2017-07-16,6819.0
2017-07-17,7128.0
2017-07-18,5829.0
2017-07-19,6147.0
2017-07-20,7276.0
2017-07-21,7530.0
2017-07-22,7475.0
2017-07-23,6691.0
2017-07-24,7101.0
2017-07-25,6276.0
2017-07-26,6414.0
2017-07-27,7530.0
2017-07-28,7802.0
2017-07-29,8290.0
2017-07-30,7106.0
2017-07-31,7790.0
2017-08-01,6249.0
2017-08-02,5825.0
2017-08-03,7253.0
2017-08-04,7706.0
2017-08-05,7600.0
2017-08-06,7148.0
2017-08-07,7355.0
2017-08-08,6190.0
2017-08-09,6230.0
2017-08-10,7389.0
2017-08-11,7851.0
2017-08-12,8103.0
2017-08-13,7064.0
2017-08-14,7760.0
2017-08-15,6761.0
2017-08-16,6934.0
2017-08-17,7716.0
2017-08-18,7788.0
2017-08-19,7893.0
2017-08-20,7516.0
2017-08-21,7798.0
2017-08-22,6681.0
2017-08-23,6852.0
2017-08-24,7959.0
2017-08-25,8551.0
2017-08-26,7836.0
2017-08-27,7424.0
2017-08-28,7866.0
2017-08-29,5915.0
2017-08-30,6017.0
2017-08-31,5834.0
2017-09-01,6031.0
2017-09-02,5036.0
2017-09-03,5257.0
2017-09-04,4912.0
2017-09-05,3545.0
2017-09-06,3937.0
2017-09-07,4484.0
2017-09-08,4962.0
2017-09-09,5287.0
2017-09-10,4863.0
2017-09-11,4445.0
2017-09-12,3920.0
2017-09-13,4308.0
2017-09-14,4862.0
2017-09-15,5495.0
2017-09-16,5762.0
2017-09-17,4891.0
2017-09-18,5708.0
2017-09-19,3931.0
2017-09-20,4527.0
2017-09-21,4910.0
2017-09-22,5439.0
2017-09-23,5784.0
2017-09-24,5349.0
2017-09-25,5245.0
2017-09-26,3601.0
2017-09-27,3925.0
2017-09-28,4545.0
2017-09-29,5474.0
2017-09-30,6381.0
2017-10-01,5395.0
2017-10-02,5221.0
2017-10-03,3626.0
2017-10-04,4066.0
2017-10-05,3972.0
2017-10-06,5953.0
2017-10-07,5857.0
2017-10-08,5379.0
2017-10-09,3852.0
2017-10-10,3279.0
2017-10-11,3452.0
2017-10-12,4119.0
2017-10-13,6052.0
2017-10-14,5937.0
2017-10-15,5723.0
2017-10-16,3981.0
2017-10-17,3138.0
2017-10-18,3611.0
2017-10-19,3988.0
2017-10-20,6176.0
2017-10-21,5320.0
2017-10-22,5016.0
2017-10-23,4971.0
2017-10-24,3325.0
2017-10-25,3511.0
2017-10-26,4118.0
2017-10-27,6910.0
2017-10-28,6317.0
2017-10-29,5135.0
2017-10-30,5025.0
2017-10-31,3863.0
2017-11-01,4144.0
2017-11-02,5646.0
2017-11-03,9676.0
2017-11-04,8135.0
2017-11-05,4972.0
2017-11-06,6868.0
2017-11-07,4731.0
2017-11-08,3260.0
2017-11-09,3777.0
2017-11-10,5388.0
2017-11-11,4257.0
2017-11-12,4553.0
2017-11-13,3361.0
2017-11-14,2999.0
2017-11-15,3473.0
2017-11-16,3879.0
2017-11-17,5496.0
2017-11-18,4162.0
2017-11-19,4657.0
2017-11-20,3033.0
2017-11-21,2502.0
2017-11-22,3068.0
2017-11-23,3810.0
2017-11-24,5620.0
2017-11-25,4091.0
2017-11-26,4044.0
2017-11-27,3051.0
2017-11-28,2970.0
2017-11-29,2678.0
2017-11-30,3885.0
2017-12-01,5931.0
2017-12-02,4138.0
2017-12-03,4461.0
2017-12-04,3090.0
2017-12-05,2550.0
2017-12-06,3337.0
2017-12-07,3345.0
2017-12-08,5636.0
2017-12-09,4531.0
2017-12-10,4402.0
2017-12-11,3489.0
2017-12-12,2546.0
2017-12-13,2932.0
2017-12-14,4128.0
2017-12-15,5617.0
2017-12-16,4516.0
2017-12-17,4587.0
2017-12-18,3475.0
2017-12-19,2521.0
2017-12-20,2868.0
2017-12-21,3366.0
2017-12-22,4116.0
2017-12-23,3576.0
2017-12-24,3643.0
2017-12-25,3092.0
2017-12-26,2782.0
2017-12-27,3497.0
2017-12-28,4842.0
2017-12-29,8274.0
2017-12-30,8749.0
2017-12-31,4658.0
2018-01-01,3828.0
2018-01-02,7713.0
2018-01-03,8862.0
2018-01-04,9040.0
2018-01-05,8333.0
2018-01-06,7352.0
2018-01-07,6314.0
2018-01-08,6487.0
2018-01-09,4307.0
2018-01-10,3114.0
2018-01-11,2648.0
2018-01-12,3703.0
2018-01-13,2761.0
2018-01-14,3886.0
2018-01-15,2795.0
2018-01-16,2086.0
2018-01-17,2403.0
2018-01-18,3076.0
2018-01-19,4101.0
2018-01-20,3211.0
2018-01-21,3900.0
2018-01-22,3083.0
2018-01-23,2616.0
2018-01-24,2727.0
2018-01-25,3624.0
2018-01-26,4864.0
2018-01-27,4036.0
2018-01-28,4257.0
2018-01-29,3897.0
2018-01-30,2824.0
2018-01-31,3431.0
2018-02-01,4032.0
2018-02-02,4705.0
2018-02-03,4157.0
2018-02-04,5039.0
2018-02-05,4342.0
2018-02-06,2857.0
2018-02-07,3523.0
2018-02-08,4670.0
2018-02-09,5153.0
2018-02-10,4249.0
2018-02-11,5023.0
2018-02-12,3460.0
2018-02-13,2882.0
2018-02-14,3242.0
2018-02-15,4295.0
2018-02-16,5282.0
2018-02-17,4500.0
2018-02-18,5153.0
2018-02-19,3529.0
2018-02-20,3436.0
2018-02-21,4747.0
2018-02-22,6850.0
2018-02-23,6954.0
2018-02-24,4006.0
2018-02-25,5586.0
2018-02-26,3741.0
2018-02-27,2642.0
2018-02-28,3138.0
2018-03-01,3737.0
2018-03-02,4564.0
2018-03-03,3182.0
2018-03-04,4135.0
2018-03-05,2972.0
2018-03-06,3930.0
2018-03-07,8441.0
2018-03-08,8925.0
2018-03-09,3073.0
2018-03-10,4866.0
2018-03-11,6700.0
2018-03-12,3931.0
2018-03-13,3139.0
2018-03-14,3103.0
2018-03-15,4281.0
2018-03-16,4964.0
2018-03-17,3377.0
2018-03-18,4428.0
2018-03-19,3360.0
2018-03-20,2910.0
2018-03-21,3655.0
2018-03-22,4753.0
2018-03-23,6212.0
2018-03-24,6387.0
2018-03-25,5922.0
2018-03-26,5527.0
2018-03-27,4326.0
2018-03-28,4347.0
2018-03-29,4819.0
2018-03-30,6088.0
2018-03-31,6428.0
2018-04-01,6260.0
2018-04-02,4540.0
2018-04-03,3339.0
2018-04-04,3889.0
2018-04-05,4451.0
2018-04-06,6018.0
2018-04-07,5401.0
2018-04-08,5639.0
2018-04-09,4672.0
2018-04-10,4078.0
2018-04-11,4486.0
2018-04-12,5151.0
2018-04-13,6268.0
2018-04-14,6088.0
2018-04-15,6155.0
2018-04-16,4621.0
2018-04-17,3783.0
2018-04-18,4871.0
2018-04-19,5750.0
2018-04-20,6788.0
2018-04-21,6576.0
2018-04-22,5735.0
2018-04-23,5095.0
2018-04-24,3492.0
2018-04-25,4436.0
2018-04-26,5245.0
2018-04-27,6840.0
2018-04-28,11643.0
2018-04-29,15296.0
2018-04-30,7099.0
2018-05-01,4250.0
2018-05-02,6902.0
2018-05-03,4764.0
2018-05-04,4029.0
2018-05-05,5592.0
2018-05-06,5186.0
2018-05-07,4123.0
2018-05-08,3678.0
2018-05-09,3924.0
2018-05-10,4940.0
2018-05-11,5693.0
2018-05-12,6546.0
2018-05-13,7057.0
2018-05-14,5538.0
2018-05-15,4612.0
2018-05-16,4837.0
2018-05-17,5194.0
2018-05-18,7203.0
2018-05-19,5792.0
2018-05-20,6404.0
2018-05-21,5766.0
2018-05-22,5112.0
2018-05-23,5065.0
2018-05-24,6454.0
2018-05-25,8785.0
2018-05-26,5698.0
2018-05-27,6710.0
2018-05-28,5692.0
2018-05-29,5759.0
2018-05-30,5940.0
2018-05-31,6868.0
2018-06-01,7692.0
2018-06-02,6603.0
2018-06-03,7057.0
2018-06-04,5777.0
2018-06-05,5321.0
2018-06-06,5963.0
2018-06-07,6025.0
2018-06-08,6867.0
2018-06-09,11599.0
2018-06-10,8929.0
2018-06-11,6305.0
2018-06-12,6589.0
2018-06-13,5346.0
2018-06-14,4331.0
2018-06-15,5591.0
2018-06-16,6746.0
2018-06-17,5478.0
2018-06-18,5603.0
2018-06-19,6195.0
2018-06-20,5082.0
2018-06-21,6910.0
2018-06-22,10149.0
2018-06-23,6776.0
2018-06-24,5799.0
2018-06-25,6080.0
2018-06-26,5659.0
2018-06-27,5446.0
2018-06-28,6165.0
2018-06-29,9856.0
2018-06-30,7797.0
2018-07-01,5815.0
2018-07-02,6116.0
2018-07-03,6033.0
2018-07-04,5390.0
2018-07-05,7453.0
2018-07-06,8140.0
2018-07-07,7046.0
2018-07-08,6265.0
2018-07-09,6652.0
2018-07-10,5860.0
2018-07-11,4760.0
2018-07-12,5756.0
2018-07-13,6820.0
2018-07-14,7955.0
2018-07-15,8006.0
2018-07-16,7080.0
2018-07-17,7229.0
2018-07-18,6721.0
2018-07-19,7516.0
2018-07-20,9252.0
2018-07-21,7570.0
2018-07-22,7779.0
2018-07-23,7755.0
2018-07-24,6749.0
2018-07-25,7401.0
2018-07-26,7831.0
2018-07-27,9064.0
2018-07-28,8095.0
2018-07-29,8118.0
2018-07-30,7731.0
2018-07-31,7233.0
2018-08-01,7080.0
2018-08-02,7126.0
2018-08-03,9088.0
2018-08-04,7003.0
2018-08-05,7947.0
2018-08-06,7483.0
2018-08-07,7455.0
2018-08-08,7107.0
2018-08-09,8290.0
